Language,Response Time
python,1435
python,1424
python,1517
python,1502
python,1298
python,1348
python,1512
python,1446
python,1400
python,1426
python,1434
python,1442
python,1431
python,1607
python,1295
python,1298
python,1630
python,1321
python,1847
python,1551
python,1414
python,1421
python,2405
python,1835
python,1902
python,1705
python,1922
python,2022
python,2106
python,1519
python,1813
python,1802
python,2105
python,1415
python,2025
python,1928
python,1744
python,1728
python,1493
python,2035
python,1728
python,1965
python,1835
python,1516
python,2753
python,2657
python,2819
python,2557
python,2925
python,4042
python,1718
python,1629
python,1728
python,1645
python,1740
python,1776
python,1642
python,1634
python,1638
python,1867
python,1807
python,1725
