Language,Response Time
java,5827
java,6498
java,7105
java,6011
java,6092
java,5602
java,6043
java,5966
java,5841
java,5841
java,6060
java,5376
java,5867
java,5747
java,6050
java,5733
java,6248
java,6213
java,5730
java,6025
java,6353
java,5646
java,5709
java,6159
java,6347
java,5859
java,5778
java,6186
java,5932
java,5535
java,5816
java,6138
java,5710
java,6039
java,5919
java,5904
java,6208
java,5740
java,5910
java,5961
java,6166
java,5723
java,5835
java,6178
java,6130
java,6332
java,5746
java,5886
java,6250
java,6084
java,6152
nodejs,1683
nodejs,1457
nodejs,1509
nodejs,1605
nodejs,1776
nodejs,1557
nodejs,1595
nodejs,1560
nodejs,1472
nodejs,1393
nodejs,1427
nodejs,1420
nodejs,1462
nodejs,1667
nodejs,3656
nodejs,1990
nodejs,2045
nodejs,1801
nodejs,1970
nodejs,1879
nodejs,1467
nodejs,1782
nodejs,1487
nodejs,1501
nodejs,1542
nodejs,1339
nodejs,1627
nodejs,1919
nodejs,4875
nodejs,1410
nodejs,1825
nodejs,1900
nodejs,1425
nodejs,1482
nodejs,2138
nodejs,1772
nodejs,1705
nodejs,2021
nodejs,1373
nodejs,1718
nodejs,1875
nodejs,1772
nodejs,1567
nodejs,1363
nodejs,1338
nodejs,1380
nodejs,1304
nodejs,1283
nodejs,1389
nodejs,1372
nodejs,1867
nodejs,1748
nodejs,1573
nodejs,1384
nodejs,1433
nodejs,1427
nodejs,1353
nodejs,1391
nodejs,1417
nodejs,1430
nodejs,1441
nodejs,1380
nodejs,1420
nodejs,1398
nodejs,1418
nodejs,1372
nodejs,1415
nodejs,1303
nodejs,1493
nodejs,1276
nodejs,1368
nodejs,1454
nodejs,1326
nodejs,1378
nodejs,1389
nodejs,1514
nodejs,1460
nodejs,1299
nodejs,1325
nodejs,1423
nodejs,1348
nodejs,1535
nodejs,1547
nodejs,1496
nodejs,1483
nodejs,1427
nodejs,1331
nodejs,1409
nodejs,1402
nodejs,1357
nodejs,1470
nodejs,1349
nodejs,1348
nodejs,1357
nodejs,1472
nodejs,1371
nodejs,1348
nodejs,1378
nodejs,2021
python,2753
python,2657
python,2819
python,2557
python,2925
python,4042
python,1718
python,1629
python,1728
python,1645
python,1740
python,1776
python,1642
python,1634
python,1638
python,1867
python,1807
python,1725
python,1654
python,1795
python,1520
python,1662
python,1700
python,1901
python,1654
python,1669
python,1530
python,1681
python,1754
python,1849
python,1772
python,1945
python,1958
python,1727
python,1722
python,1546
python,1903
python,1996
python,1525
python,1481
python,1623
python,1499
python,1641
python,1490
python,1554
python,1794
python,1737
python,1589
python,1646
python,2740
python,2907
python,1731
python,2042
python,1834
python,2201
python,1557
python,1727
python,1692
python,2366
python,2555
python,2791
python,3131
python,1758
python,2368
python,1926
python,2874
python,1667
python,2848
python,2719
python,1844
python,1539
python,1790
python,1674
python,1795
python,1544
python,3032
python,3081
python,2823
python,2669
python,1570
python,1860
python,6973
python,7337
python,1867
python,2227
python,2176
python,2244
python,1702
python,1727
python,1638
python,2223
python,1773
python,1760
python,2149
python,1651
python,1690
python,2336
python,1802
python,1635
python,5125
